gameId,gameName,playCount,backlogCount,replayCount,retiredPercentage,rating,completedCount
60030,The Rumble Fish 2,0,6,0,11.1,0.0,2
60031,Code Hero,0,1,0,0.0,0.0,0
60032,Gerry Anderson's Thunderbirds: Kokusai Kyuujotai Juudou Seyo!!,0,3,0,25.0,0.0,0
60033,Thoroughbred Breeder,0,1,0,50.0,0.0,0
60034,Thoroughbred Breeder III,0,1,0,50.0,0.0,0
60035,Thoroughbred Breeder II,0,0,0,100.0,0.0,0
60036,Tetsuwan Atom,0,10,0,0.0,65.0,4
60037,Tenshi no Uta: Shiroki Tsubasa no Inori,0,1,0,0.0,0.0,0
60038,Tenchi o Kurau: Sangokushi Gunyuuden,0,1,0,0.0,0.0,0
60039,Tekichuu Keiba Juku,0,1,0,50.0,0.0,0
60040,Fury Strike,0,0,0,100.0,0.0,0
60041,Teitoku no Ketsudan,0,1,0,0.0,0.0,0
60042,Teitoku no Ketsudan II,0,1,0,0.0,0.0,0
60043,Two Point Hospital,75,3700,47,8.8,74.0,412
60044,BanG Dream! Girls Band Party!,1,9,0,32.6,74.0,20
60046,Moorhuhn- Schatzjäger 2,0,0,0,0.0,50.0,1
60047,SEGA Bass Fishing 2,1,14,1,5.9,90.0,2
60048,The Rumble Fish,0,8,0,0.0,63.0,4
60049,GROW: Wild West,0,0,1,75.0,30.0,1
60050,Pathfinder: Kingmaker,75,4800,42,4.0,74.0,595
60051,Doodle Jump,1,11,1,29.7,65.0,41
60052,Mandora,0,0,0,0.0,0.0,1
60053,Ding Dong XL,1,98,0,7.9,63.0,66
