gameId,name,polled,main,side,complete,fastest,slowest
165,Nintendo 3DS,20,22:36:0,25:41:0,24:17:0,14:45:0,29:24:0
165,Nintendo DS,162,23:35:0,25:1:0,23:3:0,10:0:0,45:27:0
166,Emulated,31,4:20:0,6:40:0,0:0:0,2:47:0,10:0:0
166,PlayStation 2,105,4:22:0,7:27:0,27:14:0,2:30:0,50:0:0
167,Emulated,18,2:21:0,6:22:0,0:0:0,1:20:0,9:30:0
167,PlayStation,58,2:53:0,5:6:0,13:36:0,1:14:0,16:0:0
168,Emulated,16,3:32:0,11:12:0,11:34:0,1:6:0,23:0:0
168,PlayStation,50,4:18:0,11:9:0,12:46:0,1:9:0,17:29:0
168,PlayStation Vita,1,0:0:0,42:23:0,0:0:0,42:23:0,42:23:0
169,Emulated,27,6:54:0,12:19:0,22:15:0,4:24:0,22:15:0
169,PlayStation 2,89,7:12:0,12:47:0,33:20:0,3:52:0,50:0:0
169,PlayStation 4,13,7:23:0,13:30:0,31:47:0,4:3:0,31:47:0
170,Emulated,3,4:4:0,12:57:0,0:0:0,3:46:0,12:57:0
170,Xbox 360,45,9:8:0,15:47:0,50:0:0,4:2:0,50:0:0
170,Xbox One,7,7:24:0,11:17:0,0:0:0,5:46:0,11:17:0
171,Emulated,10,3:53:0,7:0:0,0:0:0,1:52:0,7:0:0
171,PlayStation Portable,35,4:14:0,7:26:0,26:52:0,1:25:0,50:0:0
171,PlayStation Vita,1,3:36:0,0:0:0,0:0:0,3:36:0,3:36:0
172,Emulated,26,4:18:0,7:45:0,0:0:0,2:2:0,10:0:0
172,PlayStation 2,68,4:45:0,8:48:0,28:3:0,2:10:0,50:0:0
173,Emulated,1,8:3:0,0:0:0,0:0:0,8:3:0,8:3:0
173,PC,118,8:52:0,14:2:0,88:7:0,4:56:0,139:3:0
173,PlayStation 3,15,8:23:0,14:21:0,0:0:0,5:38:0,23:24:0
173,Xbox 360,17,8:45:0,8:30:0,80:0:0,6:25:0,80:0:0
175,Emulated,4,4:22:0,9:3:0,0:0:0,3:42:0,9:3:0
175,Nintendo 3DS,60,4:20:0,7:36:0,18:4:0,2:38:0,35:42:0
176,Emulated,4,5:12:0,0:0:0,0:0:0,2:24:0,9:0:0
176,PlayStation Portable,18,7:13:0,7:6:0,66:36:0,4:23:0,66:36:0
178,PC,4,8:4:0,0:0:0,36:32:0,1:0:0,36:32:0
180,Browser,23,0:14:0,0:30:0,0:20:0,0:7:0,0:45:0
180,PC,8,0:25:0,0:0:0,0:20:0,0:8:0,0:31:0
181,PC,1,70:0:0,0:0:0,0:0:0,70:0:0,70:0:0
183,Atari 2600,3,0:26:0,0:52:0,0:0:0,0:20:0,1:25:0
185,Mobile,1,0:0:0,13:52:0,0:0:0,13:52:0,13:52:0
186,PC,13,12:0:0,11:47:0,12:17:0,7:0:0,16:0:0
187,PlayStation,3,3:29:0,0:0:0,0:0:0,2:0:0,5:30:0
188,Amstrad CPC,1,1:21:0,0:0:0,0:0:0,1:21:0,1:21:0
188,Sega Master System,4,1:13:0,0:0:0,0:0:0,0:45:0,1:30:0
191,Emulated,18,5:10:0,5:31:0,7:56:0,3:39:0,8:0:0
191,Super Nintendo,153,4:52:0,5:37:0,5:53:0,2:20:0,11:15:0
191,Wii,2,4:57:0,9:0:0,0:0:0,4:57:0,9:0:0
191,Wii U,1,0:0:0,5:25:0,0:0:0,5:25:0,5:25:0
